INFO 2025-04-14 05:00:05,379 autoreload Watching for file changes with StatReloader
INFO 2025-04-14 05:27:57,288 basehttp "GET /api/v1/events/? HTTP/1.1" 200 830
INFO 2025-04-14 05:27:58,713 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:27:58,733 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:27:58,744 basehttp "GET /api/v1/events/1/ HTTP/1.1" 200 807
INFO 2025-04-14 05:27:58,770 basehttp "GET /api/v1/events/1/ HTTP/1.1" 200 807
INFO 2025-04-14 05:35:08,794 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:35:08,815 basehttp "GET /api/v1/events/1/ HTTP/1.1" 200 807
INFO 2025-04-14 05:36:45,196 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:45,213 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:45,229 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:45,242 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:45,256 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:45,271 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:45,287 basehttp "GET /api/v1/events/?organizer=23 HTTP/1.1" 200 830
INFO 2025-04-14 05:36:45,291 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:45,306 basehttp "GET /api/v1/events/? HTTP/1.1" 200 830
INFO 2025-04-14 05:36:45,312 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:45,327 basehttp "GET /api/v1/events/?organizer=23 HTTP/1.1" 200 830
INFO 2025-04-14 05:36:45,339 basehttp "GET /api/v1/events/? HTTP/1.1" 200 830
INFO 2025-04-14 05:36:45,983 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:46,004 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:36:46,015 basehttp "GET /api/v1/events/1/ HTTP/1.1" 200 807
INFO 2025-04-14 05:36:46,037 basehttp "GET /api/v1/events/1/ HTTP/1.1" 200 807
